fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20231007 205051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1105	TRUE	100005	0.0100162712395485	0.382131889145026	4743	355	7554	85190000	23
20231007 205736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1263	TRUE	100005	0.0101796195069495	0.200787762134171	3394	470	7948	84105000	24
20231007 210325	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	875	TRUE	100005	0.0102658162094347	0.453301399219343	3660	277	7183	86380000	25
20231007 210755	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	695	TRUE	100005	0.0106516215407049	0.393613563592224	3813	38	7227	86345000	26
20231007 211310	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	603	TRUE	100005	0.0102538595228611	0.382975508346852	2762	93	7265	87465000	27
20231007 211903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	731	TRUE	100005	0.0101552727719746	0.368975600887217	2190	62	7506	86625000	28
20231007 212444	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	774	TRUE	100005	0.010051137032441	0.414999552763521	2711	81	5303	82180000	29
20231007 213014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	670	TRUE	100005	0.0100738668153211	0.413040235996875	2858	161	7552	87710000	30
20231007 213521	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	713	TRUE	100005	0.0102936047503891	0.558594846891342	2964	92	7607	86485000	31
20231007 213650	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	100005	0.038670009707808	0.384356688128767	2879	160	7545	85225000	32
20231007 214230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1051	TRUE	100005	0.0100147649328456	0.474724650578227	6873	77	7460	83300000	33
20231007 214255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	100005	0.228685165364335	0.994765123763192	7999	1021	7821	80780000	34
20231007 214820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	768	TRUE	100005	0.0100121058051005	0.838429962074494	2739	1019	7258	84735000	35
20231007 215224	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	370	TRUE	100005	0.0100362796341799	0.998927346866315	2182	443	7298	84175000	36
20231007 215255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	100005	0.299863476826287	0.986183463173151	3749	1024	6663	78260000	37
20231007 215818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	501	TRUE	100005	0.0100997637354142	0.418664805527878	1912	855	7282	86800000	38
20231007 223526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	419	TRUE	100005	0.0101450461710173	0.427242915183244	117	1023	7156	85155000	39
20231007 224025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	521	TRUE	100005	0.0100598490253062	0.411150414387187	2403	430	7395	85995000	40
20231007 224902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1041	TRUE	100005	0.0100736503613122	0.375576129534833	1639	1022	8528	86485000	41
20231007 225500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1046	TRUE	100005	0.0100659040840478	0.368134681957718	7982	1002	7186	83825000	42
20231007 230036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	617	TRUE	100005	0.0100067486738069	0.334408290468583	2621	1017	7299	86135000	43
