fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20231008 061911	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	100005	0.172148912519085	0.20172045699129	4049	924	6097	76615000	38
20231008 062701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	548	TRUE	100005	0.0100319023864966	0.259522988296901	1366	137	7426	81305000	39
20231008 063414	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	788	TRUE	100005	0.0100951044208669	0.202899391710413	1896	468	7345	81025000	40
20231008 063823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	569	TRUE	100005	0.0110983830213011	0.327879408838297	1993	17	7545	79905000	41
20231008 064246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	539	TRUE	100005	0.0100735256419166	0.811724087301712	4676	1004	7320	80080000	42
20231008 064539	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	180	TRUE	100005	0.0294391282632091	0.200064975138079	479	81	7721	82880000	43
20231008 064608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	100005	0.0996885813555825	0.200625517653431	9	16	7511	70910000	44
20231008 064931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	146	TRUE	100005	0.0265692488498792	0.200876189316192	767	378	8371	82530000	45
20231008 065025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	100005	0.130417886752943	0.20004988018884	7131	739	5294	73850000	46
20231008 065052	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	100005	0.176271364087967	0.401033956727677	5819	841	8414	76930000	47
20231008 065121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	100005	0.215618391166267	0.319134302325053	4599	70	6695	78015000	48
20231008 065146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	100005	0.286631611485882	0.998518139644058	2738	16	6678	75075000	49
20231008 065412	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	179	TRUE	100005	0.031443021677699	0.202130499622871	1337	378	7620	82460000	50
20231008 065457	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	100005	0.204755728990183	0.359982912605766	6993	693	6066	77385000	51
20231008 065548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	100005	0.0738956370410513	0.206450242372685	5922	27	8118	78995000	52
20231008 065709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	262	TRUE	100005	0.154285071234532	0.893531685374891	4897	614	5877	78155000	53
20231008 070308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	442	TRUE	100005	0.033242810371996	0.961742317489614	734	209	7800	82320000	54
20231008 070632	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	166	TRUE	100005	0.0327071766650428	0.978838349065343	703	1000	7308	81025000	55
20231008 070836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	101	TRUE	100005	0.0425782202229592	0.727995081086312	683	135	8117	82075000	56
20231008 071435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	189	TRUE	100005	0.0330181549145135	0.669973183969112	2	305	7395	78435000	57
20231008 071605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	100005	0.0438823988322556	0.996804664530519	1437	92	8466	79905000	58
20231008 071758	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	100005	0.0295326759598868	0.830559179911947	1244	165	7723	81200000	59
20231008 071831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	100005	0.297361644188676	0.200357915662942	4586	461	7544	77140000	60
20231008 072019	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	318	TRUE	100005	0.03660947671765	0.203434782618841	7999	82	10278	78435000	61
20231008 072056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	100005	0.243235341143319	0.217808780233413	2709	371	7804	78680000	62
20231008 072417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	207	TRUE	100005	0.0306610702158184	0.20094882860256	827	100	8094	83370000	63
20231008 072742	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	189	TRUE	100005	0.0543241270921332	0.905267713584928	638	510	8014	81690000	64
20231008 072943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	116	TRUE	100005	0.0344025490930538	0.894788952086748	141	90	9018	81095000	65
20231008 073428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	339	TRUE	100005	0.0442010783541486	0.97264870604907	528	182	5126	77525000	66
20231008 073537	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	190	TRUE	100005	0.0845658791147116	0.743115073458446	4352	1024	7346	80185000	67
20231008 073604	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	100005	0.240488058282641	0.75869654544862	3978	1024	6814	76930000	68
20231008 074603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	538	TRUE	100005	0.0102350882832819	0.957107450359543	707	679	8274	82110000	69
20231008 074715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	100005	0.0408914137322713	0.744405252672837	2484	877	8324	80640000	70
20231008 074834	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	160	TRUE	100005	0.0363256235525233	0.619969791694144	7999	980	7309	78785000	71
20231008 075243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	246	TRUE	100005	0.0336774270736342	0.999836447487565	703	676	8582	82460000	72
20231008 075333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	100005	0.299994856310636	0.676320320382165	626	104	8433	72590000	73
20231008 075525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	221	TRUE	100005	0.0297830981584126	0.999887719578007	3557	799	7943	81340000	74
20231008 075634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	100005	0.0508731423885137	0.734334400549275	4907	605	7957	78155000	75
20231008 080142	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	569	TRUE	100005	0.0102637610147823	0.998833110423848	2795	1024	9236	80395000	76
20231008 080557	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	591	TRUE	100005	0.0102857548812792	0.999560740430404	6512	1023	7308	78785000	77
20231008 080854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	182	TRUE	100005	0.0259446348021047	0.200621115743767	1156	1009	7871	81270000	78
20231008 080934	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	100005	0.117360302058834	0.999938068837349	2604	1023	7455	80535000	79
20231008 081043	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	100005	0.0641175104145013	0.998485550171976	3105	1024	7925	81445000	80
20231008 081113	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	100005	0.188017833913389	0.99966730391889	2791	723	7516	78715000	81
20231008 081324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	327	TRUE	100005	0.0264376385010929	0.223088274938252	776	17	9457	79415000	82
20231008 081807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	739	TRUE	100005	0.0101827422486435	0.274035727162588	7991	1005	12287	71925000	83
20231008 082030	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	96	TRUE	100005	0.0324175033857983	0.200126520632267	879	656	7872	81270000	84
20231008 082328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	195	TRUE	100005	0.0825952035822457	0.990789329685304	768	1005	8648	82565000	85
20231008 082550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	100005	0.0495245933161675	0.929906852619077	785	1024	8926	78085000	86
20231008 082948	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	193	TRUE	100005	0.085182551453338	0.998240106969686	659	705	7918	84035000	87
20231008 083300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	79	TRUE	100005	0.0828437982941055	0.998856188877586	401	385	8327	84525000	88
20231008 083709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	100005	0.0823203794853591	0.999538244859979	21	438	8227	70105000	89
20231008 083835	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	100005	0.112505064163323	0.797271645556618	817	771	8332	80290000	90
20231008 084342	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	179	TRUE	100005	0.0123976453528075	0.953731138218691	824	394	8332	79170000	91
20231008 084623	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	132	TRUE	100005	0.125592813980946	0.998446731703816	510	289	9742	79660000	92
20231008 084653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	100005	0.286328144665074	0.585217126629502	2395	628	9425	76265000	93
20231008 084816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	116	TRUE	100005	0.199813536718434	0.949640102093667	1141	742	10983	74900000	94
20231008 085054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	100005	0.083369792964338	0.918285783430806	498	579	9792	78750000	95
20231008 085303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	91	TRUE	100005	0.0350319512852642	0.677152330736264	341	126	7533	81970000	96
20231008 085349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	100005	0.227915689410137	0.394283264180087	1883	747	6784	79100000	97
20231008 085417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	100005	0.255647098844978	0.437253108401224	7646	566	9041	77280000	98
20231008 085525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	141	TRUE	100005	0.0621730885124207	0.686050144900754	3310	741	10861	74900000	99
20231008 085605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	100005	0.121666170585181	0.952074078910425	7504	894	11575	74095000	100
20231008 085644	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	74	TRUE	100005	0.171650052105489	0.967120761451125	5837	347	9806	74725000	101
20231008 085736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131	TRUE	100005	0.113834160614852	0.433864901970513	6361	555	11709	75705000	102
20231008 085849	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	103	TRUE	100005	0.266469182748992	0.866605546146818	1177	278	11899	69615000	103
20231008 085953	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	180	TRUE	100005	0.132091873750789	0.347431504014879	5617	156	7162	80920000	104
20231008 090048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	77	TRUE	100005	0.11220320339865	0.748203861320764	2236	115	5184	75740000	105
20231008 090109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	100005	0.291500340297096	0.377992995641381	7426	332	13517	68635000	106
20231008 090302	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	100005	0.0777329306510324	0.410768516082496	618	299	8403	84280000	107
20231008 090424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	138	TRUE	100005	0.0811187793896681	0.968855671693482	639	70	8375	81655000	108
20231008 090804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	199	TRUE	100005	0.0667375420563694	0.731221378161351	574	692	8366	80885000	109
20231008 090940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	100005	0.0770508924432161	0.276181321601263	454	95	8324	80640000	110
20231008 091324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	235	TRUE	100005	0.0771641334953199	0.416086131442966	709	416	6456	83335000	111
20231008 091635	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	101	TRUE	100005	0.0913119758056379	0.981376399170954	362	363	7417	82495000	112
20231008 091758	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	100005	0.0745577197465823	0.202558209648674	1070	211	7265	82145000	113
20231008 092641	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	329	TRUE	100005	0.0108359884713666	0.359972162099879	624	249	7476	81795000	114
20231008 092922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	191	TRUE	100005	0.0433381560437553	0.909702629285892	1010	574	7458	82215000	115
20231008 093038	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	100005	0.0653580029509576	0.870819985275116	1293	489	7919	80115000	116
20231008 094056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	451	TRUE	100005	0.0118621543165348	0.502213458001457	616	587	7592	83510000	117
20231008 094424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	100005	0.0396631004564129	0.215342016852292	471	529	8433	82950000	118
20231008 094625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	100005	0.0871453144274043	0.552365007617105	418	1017	7902	80780000	119
20231008 095136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	191	TRUE	100005	0.0220235237926332	0.765887035301329	550	286	7642	81480000	120
