Feature	Gain	Cover	Frequency
ctarjeta_visa	0.244193846201004	0.00733884056639466	0.00165289256198347
ctrx_quarter	0.148714129247659	0.037147529023795	0.0115702479338843
mcuentas_saldo	0.0760080715269783	0.0380882759702958	0.0231404958677686
mcaja_ahorro	0.0556906619481664	0.0392410572849801	0.0148760330578512
Visa_status	0.0512316884530774	0.00915778079861658	0.00495867768595041
mcaja_ahorro_lag1	0.0498848675810492	0.0342568078928894	0.00826446280991736
Visa_delinquency_lag1	0.0471343063634307	0.00788429721746383	0.00330578512396694
mcuenta_corriente	0.0390055218989087	0.0286527794596771	0.0165289256198347
cdescubierto_preacordado	0.032990739776223	0.0154443109976784	0.0148760330578512
mprestamos_personales	0.0247898205261693	0.0335020876438965	0.0247933884297521
internet	0.0244726084781329	0.0120286463080674	0.0115702479338843
mpayroll	0.0207926578013769	0.057442782490524	0.0214876033057851
Visa_delinquency	0.0171434569258055	0.0242728303650197	0.00991735537190083
mtarjeta_visa_consumo	0.0162753377847359	0.0331688062476342	0.0198347107438017
ctrx_quarter_lag1	0.0119023055453037	0.00600645698422847	0.00495867768595041
Visa_Finiciomora	0.011784837828582	0.00733884056639466	0.00165289256198347
Visa_msaldopesos	0.0115508924999574	0.0228742676396322	0.0181818181818182
Visa_mpagospesos	0.0112543256750989	0.00359764324480716	0.00661157024793388
Visa_msaldototal	0.00977617385607874	0.0418754211159876	0.0247933884297521
mcuenta_corriente_lag1	0.00797469365253634	0.0123098466158878	0.00330578512396694
cpayroll_trx	0.00685562806126408	0.00733884056639466	0.00165289256198347
ctarjeta_visa_transacciones	0.00574300443907539	0.0243123255817732	0.0115702479338843
Master_status	0.00510185640670784	0.0144676755319825	0.0148760330578512
mautoservicio	0.00454007494728404	0.0260956966378131	0.0231404958677686
mprestamos_personales_lag1	0.00410571661482654	0.0147414652034132	0.00991735537190083
Visa_Finiciomora_lag1	0.00394512793936352	0.00627086360654221	0.00165289256198347
mpayroll_lag1	0.00382237655539584	0.0169944865147034	0.0115702479338843
Visa_mfinanciacion_limite	0.003714657273906	0.000943780705124213	0.00330578512396694
Visa_mpagominimo_lag1	0.00369942171987203	0.00930211444804627	0.0148760330578512
Master_delinquency	0.00354635325168599	0.00938700333485212	0.00826446280991736
Master_Finiciomora	0.00254354330156295	0.00733884056639466	0.00165289256198347
Visa_fechaalta_lag1	0.0024356009412225	0.0151557376232346	0.0148760330578512
Visa_msaldototal_lag1	0.00226613636534795	0.011461878207102	0.00826446280991736
mrentabilidad	0.00220212263897384	0.00921916979664303	0.0198347107438017
ctarjeta_debito_transacciones	0.0019825357665907	0.00683394987041671	0.00165289256198347
thomebanking	0.00198146369876443	0.00662555976955795	0.0115702479338843
mcomisiones_otras	0.00167763480624832	0.0033397831542597	0.00826446280991736
ccaja_ahorro	0.00165853085032049	0.00733884056639466	0.00165289256198347
Master_mpagospesos	0.00121317684265884	0.00437281083907292	0.00330578512396694
mtarjeta_visa_consumo_lag1	0.00115743970147025	0.0047717829715955	0.00661157024793388
Visa_mconsumototal	0.00104842248605932	0.00271953449106008	0.00826446280991736
Visa_mpagominimo	0.00101778216247338	0.0266361095477653	0.0198347107438017
mextraccion_autoservicio	0.000933285152707747	0.00288090602947692	0.00495867768595041
Visa_cconsumos	0.000919455915590242	0.0038885177674328	0.00495867768595041
mcomisiones_lag1	0.000883447577696217	0.00417259216237007	0.00991735537190083
mrentabilidad_annual	0.000785105299301119	0.00123064465520436	0.00330578512396694
Master_msaldopesos	0.000742651502331052	0.00345170348787096	0.00495867768595041
mactivos_margen	0.000720189503283026	0.00634432189197135	0.00991735537190083
Visa_fechaalta	0.000714994910727303	0.0135483433522351	0.0165289256198347
Visa_mfinanciacion_limite_lag3	0.000697348738309975	0.00860059298804082	0.0115702479338843
Visa_mfinanciacion_limite_lag1	0.000689908743376959	0.00253945320905868	0.00495867768595041
Visa_msaldopesos_lag1	0.00067590944334148	0.00426816964766951	0.00330578512396694
mcomisiones_otras_lag1	0.000614005204789935	0.00291392985399666	0.00826446280991736
mpasivos_margen	0.000603825270122111	0.00768221883733239	0.00991735537190083
cliente_edad_lag1	0.000601535853547709	0.00293847230378906	0.00165289256198347
ctarjeta_master	0.000574838760511076	0.00414403914003218	0.00330578512396694
Visa_fechaalta_lag3	0.000477604249769336	0.0121026587475485	0.0148760330578512
matm	0.000451040038223005	0.00212764160892562	0.00330578512396694
chomebanking_transacciones	0.000438044448161153	0.00814784912759575	0.0165289256198347
mrentabilidad_lag1	0.00043220403124385	0.00372494839769127	0.00826446280991736
mextraccion_autoservicio_lag3	0.000428157945027372	0.00100841009548835	0.00330578512396694
Visa_mpagospesos_lag1	0.000379651847684354	0.00123779230323039	0.00330578512396694
mcuenta_debitos_automaticos	0.000352208235219011	0.0011143098740606	0.00330578512396694
Visa_madelantopesos_lag1	0.000350429010502066	0.000427121279873447	0.00165289256198347
Visa_mlimitecompra_lag1	0.000304370246697694	0.0018412003187156	0.00165289256198347
