fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20231007 062509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	100005	0.282173398518236	0.762580471429974	5485	879	12114	75110000	13
20231007 062544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	100005	0.0625971952936379	0.643381222682074	5185	1001	11248	78365000	14
20231007 062644	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	204	TRUE	100005	0.0434473184926901	0.481775714261457	3414	104	10438	80395000	15
20231007 062711	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	100005	0.103290892063873	0.356594089325517	7738	281	7945	82145000	16
20231007 062733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	100005	0.112849441634375	0.899701365148649	4152	253	14545	68145000	17
20231007 064632	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	388	TRUE	100005	0.018126561157289	0.543358942242339	120	707	14179	69335000	18
20231007 064725	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	100005	0.222874864418409	0.590158739779145	845	806	5214	77770000	19
20231007 064751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	100005	0.0697689731060527	0.968173026340082	7382	629	6313	81270000	20
20231007 064809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	100005	0.259077074886998	0.205193295869976	5696	610	13396	68635000	21
20231007 065122	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	769	TRUE	100005	0.0102131459249371	0.316716674268661	3640	335	7732	85890000	22
20231007 065459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	900	TRUE	100005	0.0102663728133503	0.203957373208395	3171	270	6532	84770000	23
20231007 065848	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1105	TRUE	100005	0.0100162712395485	0.382131889145026	4743	355	7554	85190000	24
20231007 070325	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1263	TRUE	100005	0.0101796195069495	0.200787762134171	3394	470	7948	84105000	25
20231007 070709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	875	TRUE	100005	0.0102658162094347	0.453301399219343	3660	277	7183	86380000	26
20231007 071018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	695	TRUE	100005	0.0106516215407049	0.393613563592224	3813	38	7227	86345000	27
20231007 071338	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	603	TRUE	100005	0.0102538595228611	0.382975508346852	2762	93	7265	87465000	28
20231007 071749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	731	TRUE	100005	0.0101552727719746	0.368975600887217	2190	62	7506	86625000	29
20231007 072149	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	774	TRUE	100005	0.010051137032441	0.414999552763521	2711	81	5303	82180000	30
20231007 072524	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	670	TRUE	100005	0.0100738668153211	0.413040235996875	2858	161	7552	87710000	31
20231007 072905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	713	TRUE	100005	0.0102936047503891	0.558594846891342	2964	92	7607	86485000	32
20231007 073006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	100005	0.038670009707808	0.384356688128767	2879	160	7545	85225000	33
20231007 073347	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1051	TRUE	100005	0.0100147649328456	0.474724650578227	6873	77	7460	83300000	34
20231007 073401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	100005	0.228685165364335	0.994765123763192	7999	1021	7821	80780000	35
20231007 073750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	768	TRUE	100005	0.0100121058051005	0.838429962074494	2739	1019	7258	84735000	36
20231007 074047	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	370	TRUE	100005	0.0100362796341799	0.998927346866315	2182	443	7298	84175000	37
20231007 074107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	100005	0.299863476826287	0.986183463173151	3749	1024	6663	78260000	38
20231007 074458	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	501	TRUE	100005	0.0100997637354142	0.418664805527878	1912	855	7282	86800000	39
